N vrh,PoŸet prvk…,¬as ?,Vzhled ?,Pýehlednost ?,Happy? ,Sad? ,"Angry ?
","Surprised 
?","Scared ?
","Disgusted ?
"
obr1,223,33.25,4.9,4.35,0.103639000,0.048672410,0.099521490,0.027598830,0.011120240,0.038624570
obr2,215,22.55,3.45,5.75,0.094025280,0.059276040,0.079896440,0.021245110,0.024385620,0.043352450
obr3,215,17.4,5.1,6.7,0.079133570,0.053845300,0.115872800,0.019610800,0.025153370,0.023506950
obr4,159,18,7.2,7.3,0.073589790,0.049488120,0.054786820,0.028421970,0.013840430,0.027402020
obr5,42,14,8.925,8.85,0.152395300,0.037989280,0.066943880,0.018765980,0.015906900,0.036525900
obr6,173,22,7.1,6.7,0.059984500,0.057927530,0.073811430,0.029044590,0.019910590,0.026031850
